property_id,price,size_sqft,property_type,year_built,status,location_id,agent_id
0,39.07,1056,Super built-up  Area,2020,19-Dec,0.0,33
1,120.0,2600,Plot  Area,2010,Ready To Move,1.0,76
2,62.0,1440,Built-up  Area,2017,Ready To Move,2.0,85
3,95.0,1521,Super built-up  Area,2008,Ready To Move,3.0,10
4,51.0,1200,Super built-up  Area,2018,Ready To Move,4.0,36
5,38.0,1170,Super built-up  Area,2020,Ready To Move,5.0,21
6,204.0,2732,Super built-up  Area,2013,18-May,6.0,94
7,600.0,3300,Super built-up  Area,2003,Ready To Move,7.0,57
8,63.25,1310,Super built-up  Area,2009,Ready To Move,8.0,32
9,370.0,1020,Plot  Area,2001,Ready To Move,9.0,98
10,70.0,1800,Super built-up  Area,2007,18-Feb,5.0,44
11,295.0,2785,Plot  Area,2018,Ready To Move,5.0,67
12,38.0,1000,Super built-up  Area,2017,Ready To Move,10.0,19
13,40.0,1100,Built-up  Area,2020,Ready To Move,11.0,86
14,148.0,2250,Plot  Area,2010,Ready To Move,12.0,86
15,73.5,1175,Super built-up  Area,2003,Ready To Move,13.0,34
16,48.0,1180,Super built-up  Area,2021,Ready To Move,14.0,62
17,60.0,1540,Super built-up  Area,2003,Ready To Move,15.0,0
18,290.0,2770,Super built-up  Area,2003,Ready To Move,16.0,4
19,48.0,1100,Super built-up  Area,2012,Ready To Move,17.0,73
20,15.0,600,Built-up  Area,2020,Ready To Move,18.0,14
21,122.0,1755,Super built-up  Area,2004,19-Dec,19.0,83
22,380.0,2800,Plot  Area,2006,Ready To Move,20.0,30
23,103.0,1767,Super built-up  Area,2019,Ready To Move,21.0,25
24,25.25,510,Super built-up  Area,2006,18-Nov,22.0,53
25,56.0,1250,Super built-up  Area,2008,18-May,23.0,22
26,23.1,660,Super built-up  Area,2020,Ready To Move,24.0,84
27,81.0,1610,Built-up  Area,2017,20-Dec,5.0,93
28,48.77,1151,Super built-up  Area,2017,17-Oct,25.0,39
29,47.0,1025,Super built-up  Area,2015,Ready To Move,24.0,59
30,186.0,2100 - 2850,Super built-up  Area,2008,19-Dec,26.0,10
31,35.0,1075,Super built-up  Area,2016,Ready To Move,14.0,15
32,123.0,1760,Super built-up  Area,2002,Ready To Move,27.0,68
33,57.39,1693,Super built-up  Area,2008,Ready To Move,15.0,3
34,125.0,1925,Built-up  Area,2002,Ready To Move,28.0,18
35,36.0,700,Super built-up  Area,2018,21-Dec,29.0,3
36,45.5,1070,Super built-up  Area,2003,Ready To Move,30.0,58
37,125.0,1724,Super built-up  Area,2000,Ready To Move,31.0,81
38,56.12,1290,Super built-up  Area,2008,Ready To Move,32.0,68
39,45.0,1143,Built-up  Area,2002,Ready To Move,2.0,73
40,81.0,1296,Built-up  Area,2005,Ready To Move,33.0,55
41,38.0,1254,Super built-up  Area,2017,19-Dec,34.0,13
42,38.0,600,Super built-up  Area,2016,Ready To Move,35.0,12
43,48.0,660,Plot  Area,2001,Ready To Move,26.0,16
44,91.79,1330.74,Super built-up  Area,2021,19-Sep,29.0,41
