feature_id,property_id,feature_name,feature_value
1,1,bath,2.0
2,1,balcony,1.0
3,1,society,Coomee 
4,2,bath,5.0
5,2,balcony,3.0
6,2,society,Theanmp
7,3,bath,2.0
8,3,balcony,3.0
9,3,society,
10,4,bath,3.0
11,4,balcony,1.0
12,4,society,Soiewre
13,5,bath,2.0
14,5,balcony,1.0
15,5,society,
16,6,bath,2.0
17,6,balcony,1.0
18,6,society,DuenaTa
19,7,bath,4.0
20,7,balcony,
21,7,society,Jaades 
22,8,bath,4.0
23,8,balcony,
24,8,society,Brway G
25,9,bath,3.0
26,9,balcony,1.0
27,9,society,
28,10,bath,6.0
29,10,balcony,
30,10,society,
31,11,bath,2.0
32,11,balcony,2.0
33,11,society,
34,12,bath,5.0
35,12,balcony,3.0
36,12,society,Prrry M
37,13,bath,2.0
38,13,balcony,1.0
39,13,society,Shncyes
40,14,bath,2.0
41,14,balcony,2.0
42,14,society,
43,15,bath,3.0
44,15,balcony,2.0
45,15,society,Skityer
46,16,bath,2.0
47,16,balcony,2.0
48,16,society,PrntaEn
49,17,bath,3.0
50,17,balcony,2.0
51,17,society,Prityel
52,18,bath,3.0
53,18,balcony,3.0
54,18,society,GrrvaGr
55,19,bath,4.0
56,19,balcony,2.0
57,19,society,PeBayle
58,20,bath,2.0
59,20,balcony,2.0
60,20,society,
61,21,bath,1.0
62,21,balcony,1.0
63,21,society,
64,22,bath,3.0
65,22,balcony,1.0
66,22,society,She 2rk
67,23,bath,5.0
68,23,balcony,2.0
69,23,society,Soitya 
70,24,bath,3.0
71,24,balcony,1.0
72,24,society,
73,25,bath,1.0
74,25,balcony,0.0
75,25,society,Bhe 2ko
76,26,bath,3.0
77,26,balcony,2.0
78,26,society,
79,27,bath,1.0
80,27,balcony,1.0
81,27,society,Itelaa 
82,28,bath,3.0
83,28,balcony,2.0
84,28,society,
85,29,bath,2.0
86,29,balcony,2.0
87,29,society,ViistLa
88,30,bath,2.0
89,30,balcony,1.0
90,30,society,KBityo 
91,31,bath,4.0
92,31,balcony,0.0
93,31,society,LedorSa
94,32,bath,2.0
95,32,balcony,1.0
96,32,society,Prityel
97,33,bath,2.0
98,33,balcony,2.0
99,33,society,Mahosya
100,34,bath,3.0
101,34,balcony,3.0
102,34,society,GrrvaGr
103,35,bath,3.0
104,35,balcony,
105,35,society,Kantsce
106,36,bath,2.0
107,36,balcony,1.0
108,36,society,PrarePa
109,37,bath,2.0
110,37,balcony,1.0
111,37,society,
112,38,bath,3.0
113,38,balcony,2.0
114,38,society,Dieldli
115,39,bath,2.0
116,39,balcony,2.0
117,39,society,
118,40,bath,2.0
119,40,balcony,2.0
120,40,society,
121,41,bath,2.0
122,41,balcony,
123,41,society,Gentson
124,42,bath,3.0
125,42,balcony,2.0
126,42,society,Soini T
127,43,bath,1.0
128,43,balcony,0.0
129,43,society,Ceove G
130,44,bath,1.0
131,44,balcony,0.0
132,44,society,
133,45,bath,2.0
134,45,balcony,2.0
135,45,society,Soazak 
136,46,bath,9.0
137,46,balcony,
138,46,society,
139,47,bath,2.0
140,47,balcony,0.0
141,47,society,LancyRe
142,48,bath,2.0
143,48,balcony,1.0
144,48,society,Goted U
145,49,bath,1.0
146,49,balcony,1.0
147,49,society,
148,50,bath,2.0
149,50,balcony,1.0
150,50,society,
151,51,bath,2.0
152,51,balcony,1.0
153,51,society,Bhncyis
154,52,bath,3.0
155,52,balcony,1.0
156,52,society,Rosha I
157,53,bath,3.0
158,53,balcony,2.0
159,53,society,Suent V
160,54,bath,2.0
161,54,balcony,2.0
162,54,society,RothaVa
163,55,bath,2.0
164,55,balcony,3.0
165,55,society,NCowsar
166,56,bath,2.0
167,56,balcony,2.0
168,56,society,Dhalsh 
169,57,bath,
170,57,balcony,
171,57,society,BrereAt
172,58,bath,2.0
173,58,balcony,2.0
174,58,society,PeBayle
175,59,bath,4.0
176,59,balcony,1.0
177,59,society,
178,60,bath,2.0
179,60,balcony,2.0
180,60,society,
181,61,bath,3.0
182,61,balcony,2.0
183,61,society,
184,62,bath,2.0
185,62,balcony,1.0
186,62,society,Laavevi
187,63,bath,5.0
188,63,balcony,3.0
189,63,society,Chranya
190,64,bath,2.0
191,64,balcony,2.0
192,64,society,HioraTr
193,65,bath,8.0
194,65,balcony,0.0
195,65,society,
196,66,bath,2.0
197,66,balcony,1.0
198,66,society,
199,67,bath,2.0
200,67,balcony,3.0
201,67,society,BMineis
202,68,bath,2.0
203,68,balcony,1.0
204,68,society,
205,69,bath,7.0
206,69,balcony,0.0
207,69,society,
208,70,bath,2.0
209,70,balcony,1.0
210,70,society,
211,71,bath,3.0
212,71,balcony,2.0
213,71,society,
214,72,bath,2.0
215,72,balcony,1.0
216,72,society,Pruthg 
217,73,bath,3.0
218,73,balcony,1.0
219,73,society,Sonosty
220,74,bath,2.0
221,74,balcony,1.0
222,74,society,SNnia E
223,75,bath,3.0
224,75,balcony,2.0
225,75,society,Anavi B
226,76,bath,2.0
227,76,balcony,1.0
228,76,society,
229,77,bath,2.0
230,77,balcony,3.0
231,77,society,
232,78,bath,3.0
233,78,balcony,3.0
234,78,society,Viony H
235,79,bath,1.0
236,79,balcony,0.0
237,79,society,
238,80,bath,6.0
239,80,balcony,3.0
240,80,society,
241,81,bath,2.0
242,81,balcony,2.0
243,81,society,AdentEl
244,82,bath,
245,82,balcony,
246,82,society,Gollela
247,83,bath,2.0
248,83,balcony,2.0
249,83,society,Niareum
250,84,bath,2.0
251,84,balcony,2.0
252,84,society,
253,85,bath,5.0
254,85,balcony,2.0
255,85,society,SJlynro
256,86,bath,7.0
257,86,balcony,2.0
258,86,society,
259,87,bath,3.0
260,87,balcony,2.0
261,87,society,
262,88,bath,2.0
263,88,balcony,2.0
264,88,society,Tavenew
265,89,bath,2.0
266,89,balcony,2.0
267,89,society,Srire S
268,90,bath,6.0
269,90,balcony,3.0
270,90,society,
271,91,bath,2.0
272,91,balcony,2.0
273,91,society,Saenti 
274,92,bath,2.0
275,92,balcony,1.0
276,92,society,
277,93,bath,2.0
278,93,balcony,2.0
279,93,society,
280,94,bath,4.0
281,94,balcony,2.0
282,94,society,
283,95,bath,2.0
284,95,balcony,3.0
285,95,society,Bhmesy 
286,96,bath,3.0
287,96,balcony,2.0
288,96,society,
289,97,bath,4.0
290,97,balcony,1.0
291,97,society,Goardth
292,98,bath,2.0
293,98,balcony,1.0
294,98,society,
295,99,bath,2.0
296,99,balcony,1.0
297,99,society,
298,100,bath,3.0
299,100,balcony,1.0
300,100,society,
301,101,bath,3.0
302,101,balcony,3.0
303,101,society,IBityin
304,102,bath,1.0
305,102,balcony,1.0
306,102,society,KHityry
307,103,bath,2.0
308,103,balcony,1.0
309,103,society,BDensar
310,104,bath,2.0
311,104,balcony,2.0
312,104,society,Makeser
313,105,bath,2.0
314,105,balcony,2.0
315,105,society,Maest N
316,106,bath,2.0
317,106,balcony,2.0
318,106,society,
319,107,bath,2.0
320,107,balcony,1.0
321,107,society,
322,108,bath,3.0
323,108,balcony,2.0
324,108,society,Brway G
325,109,bath,2.0
326,109,balcony,2.0
327,109,society,
328,110,bath,2.0
329,110,balcony,2.0
330,110,society,Oznuean
331,111,bath,3.0
332,111,balcony,3.0
333,111,society,
334,112,bath,2.0
335,112,balcony,2.0
336,112,society,Reeroce
337,113,bath,2.0
338,113,balcony,1.0
339,113,society,Sonviik
340,114,bath,2.0
341,114,balcony,1.0
342,114,society,DSgmax 
343,115,bath,4.0
344,115,balcony,1.0
345,115,society,
346,116,bath,3.0
347,116,balcony,2.0
348,116,society,Cetattu
349,117,bath,2.0
350,117,balcony,3.0
351,117,society,Vaens G
352,118,bath,3.0
353,118,balcony,1.0
354,118,society,
355,119,bath,2.0
356,119,balcony,2.0
357,119,society,
358,120,bath,3.0
359,120,balcony,3.0
360,120,society,
361,121,bath,3.0
362,121,balcony,2.0
363,121,society,Moity S
364,122,bath,3.0
365,122,balcony,1.0
366,122,society,HiahsLa
367,123,bath,4.0
368,123,balcony,0.0
369,123,society,SNontle
370,124,bath,4.0
371,124,balcony,2.0
372,124,society,
373,125,bath,2.0
374,125,balcony,2.0
375,125,society,Sabixtt
376,126,bath,2.0
377,126,balcony,1.0
378,126,society,
379,127,bath,3.0
380,127,balcony,2.0
381,127,society,Sragei 
382,128,bath,2.0
383,128,balcony,1.0
384,128,society,
385,129,bath,2.0
386,129,balcony,1.0
387,129,society,SyidaCr
388,130,bath,7.0
389,130,balcony,0.0
390,130,society,
391,131,bath,3.0
392,131,balcony,3.0
393,131,society,Jahts H
