purchase_id,purchase_date,ownership_percentage,buyer_id,property_id
0,9-9-2025,0.68,78,0
1,4-24-2021,0.51,59,1
2,8-5-2009,0.58,19,2
3,12-20-2017,0.69,53,3
4,9-22-2003,0.82,87,4
5,2-22-2013,1.0,1,5
6,11-15-2021,0.85,74,6
7,2-29-2002,0.99,8,7
8,7-10-2008,0.85,65,8
9,4-1-2008,0.55,81,9
10,9-30-2005,1.0,43,10
11,4-9-2012,0.59,32,11
12,4-18-2010,0.65,81,12
13,12-9-2017,0.83,47,13
14,4-23-2008,0.91,57,14
15,8-24-2023,0.61,72,15
16,5-17-2022,0.71,92,16
17,12-23-2020,0.96,9,17
18,1-6-2004,0.5,70,18
19,1-26-2017,0.95,83,19
20,3-25-2009,0.91,93,20
21,10-23-2006,0.74,23,21
22,10-19-2015,0.8,38,22
23,4-19-2024,0.94,48,23
24,12-29-2007,0.68,23,24
25,9-6-2015,0.53,53,25
26,7-20-2001,0.58,52,26
27,11-19-2005,0.8,9,27
28,2-14-2005,0.99,16,28
29,7-10-2006,0.58,78,29
30,12-21-2005,0.7,39,30
31,10-11-2005,0.59,43,31
32,9-23-2020,0.7,44,32
33,10-13-2025,0.7,65,33
34,12-9-2016,0.6,56,34
35,6-14-2017,0.56,25,35
36,11-3-2010,0.73,60,36
37,4-2-2009,0.55,47,37
38,6-29-2019,0.57,62,38
39,3-30-2020,0.55,95,39
40,9-30-2021,0.73,1,40
41,3-6-2018,0.55,25,41
42,12-9-2000,0.63,57,42
43,10-29-2000,0.91,85,43
44,5-14-2021,0.5,75,44
45,12-28-2011,0.96,2,45
46,6-18-2009,0.79,80,46
47,9-9-2002,0.65,35,47
48,10-23-2006,0.99,96,48
49,6-4-2000,0.64,12,49
50,10-14-2007,0.86,93,50
51,8-11-2019,0.89,93,51
52,8-14-2003,0.93,84,52
53,9-5-2017,0.85,74,53
54,5-11-2004,0.93,83,54
55,7-23-2013,0.54,51,55
56,8-27-2013,0.63,25,56
57,12-3-2012,0.73,26,57
58,10-14-2011,0.93,1,58
59,2-7-2020,0.58,96,59
60,8-22-2000,0.78,73,60
61,4-16-2015,0.62,57,61
62,6-26-2011,0.77,83,62
63,10-18-2024,0.91,66,63
64,7-30-2007,0.72,17,64
65,2-6-2017,0.75,48,65
66,5-1-2003,0.76,68,66
67,9-20-2024,0.71,1,67
68,2-2-2000,0.5,79,68
69,4-23-2013,0.69,10,69
70,10-22-2001,0.88,5,70
71,5-28-2006,0.74,74,71
72,7-13-2009,0.99,2,72
73,9-9-2016,0.55,27,73
74,8-8-2021,0.91,19,74
75,9-24-2016,0.76,48,75
76,7-5-2013,0.56,99,76
77,10-12-2010,0.57,25,77
78,10-3-2012,0.75,65,78
79,11-19-2020,0.83,36,79
80,9-10-2023,0.9,13,80
81,4-15-2005,0.93,73,81
82,6-9-2023,0.82,46,82
83,5-3-2013,0.53,94,83
84,9-23-2011,0.57,40,84
85,2-14-2006,0.9,31,85
86,8-30-2024,0.69,41,86
87,7-4-2011,0.8,11,87
88,8-21-2012,0.65,65,88
89,5-28-2013,0.58,11,89
90,9-4-2019,0.89,47,90
91,11-7-2012,0.87,61,91
92,11-19-2015,0.73,9,92
93,4-16-2016,0.92,20,93
94,11-5-2023,0.73,31,94
95,8-16-2018,0.89,61,95
96,4-26-2003,0.66,27,96
97,1-11-2024,0.57,9,97
98,9-28-2017,0.73,86,98
99,3-27-2009,0.94,77,99
100,4-28-2023,0.51,12,100
101,10-2-2018,0.88,5,101
102,4-10-2022,0.75,10,102
103,2-6-2005,0.75,99,103
104,10-7-2011,0.91,4,104
105,3-1-2013,0.79,2,105
106,11-17-2015,0.79,22,106
107,5-19-2015,0.98,45,107
108,6-2-2024,0.98,50,108
109,9-9-2001,0.52,38,109
110,9-20-2012,0.59,47,110
111,10-21-2003,0.96,3,111
112,10-21-2000,0.65,58,112
113,9-5-2007,0.74,44,113
114,11-1-2008,0.55,91,114
115,4-22-2025,0.98,80,115
116,11-18-2017,0.99,53,116
117,1-15-2002,0.89,16,117
118,8-22-2004,0.98,44,118
119,1-9-2005,0.96,31,119
120,11-25-2021,0.62,62,120
121,3-30-2021,0.51,16,121
122,12-5-2001,0.59,35,122
123,5-19-2015,0.88,55,123
124,8-12-2006,0.61,71,124
125,3-14-2020,0.6,49,125
126,2-18-2018,0.57,59,126
127,2-8-2020,0.52,76,127
128,7-20-2006,0.89,60,128
129,8-26-2020,0.75,95,129
130,5-27-2001,0.93,72,130
131,2-16-2019,0.87,14,131
132,1-28-2004,0.83,64,132
133,7-15-2017,0.88,18,133
134,10-17-2021,0.79,46,134
135,1-20-2007,0.66,60,135
136,3-3-2005,0.94,36,136
137,8-10-2006,0.74,57,137
138,7-18-2015,0.73,2,138
139,11-30-2024,0.95,30,139
140,2-6-2024,0.64,83,140
141,3-17-2006,0.68,28,141
142,1-8-2017,0.58,70,142
143,6-11-2003,0.83,17,143
144,6-30-2002,0.56,37,144
145,9-10-2009,0.91,3,145
146,11-16-2016,0.78,7,146
147,7-12-2021,0.7,35,147
148,4-24-2009,0.94,50,148
149,4-28-2008,0.74,94,149
150,1-30-2019,0.58,74,150
151,5-16-2011,0.86,97,151
152,1-22-2019,0.88,76,152
153,7-18-2012,0.83,0,153
154,3-7-2008,0.55,52,154
155,4-17-2000,0.53,3,155
156,10-9-2014,0.71,42,156
157,6-24-2009,0.53,78,157
158,9-10-2015,0.82,75,158
159,6-25-2002,0.94,39,159
160,5-5-2012,0.53,20,160
161,4-16-2005,0.52,63,161
162,6-29-2008,0.8,99,162
163,8-15-2019,0.67,53,163
164,1-30-2004,0.68,17,164
165,9-10-2005,0.91,86,165
166,8-28-2003,0.74,99,166
167,1-16-2015,0.76,11,167
168,6-29-2011,0.73,26,168
169,4-8-2004,0.99,15,169
170,5-26-2018,0.58,98,170
171,3-27-2009,0.62,65,171
172,5-7-2009,0.82,41,172
173,7-11-2006,0.89,21,173
174,4-16-2009,0.88,62,174
175,7-25-2012,0.64,91,175
176,3-27-2016,0.66,69,176
177,10-6-2005,0.89,79,177
178,2-23-2004,0.61,43,178
179,5-29-2018,0.97,97,179
180,9-23-2019,0.61,29,180
181,5-30-2017,0.6,11,181
182,9-4-2010,0.51,47,182
183,12-30-2002,0.58,32,183
184,5-26-2009,0.93,16,184
185,10-9-2001,0.88,46,185
186,6-30-2003,0.86,48,186
187,1-20-2006,0.51,36,187
188,1-1-2012,0.64,11,188
189,4-12-2016,0.97,79,189
190,8-12-2023,0.97,48,190
191,11-25-2009,0.98,27,191
192,1-12-2020,0.78,87,192
193,4-2-2015,0.88,61,193
194,8-10-2024,0.68,25,194
195,2-25-2013,0.65,82,195
196,10-15-2018,0.88,7,196
197,4-24-2020,0.6,26,197
198,2-8-2016,0.96,54,198
199,1-30-2001,0.95,1,199
200,10-20-2025,0.97,70,200
201,6-10-2010,0.96,58,201
202,4-18-2004,0.72,70,202
203,10-10-2025,0.79,56,203
204,12-10-2012,0.98,14,204
205,6-19-2007,0.67,93,205
206,2-17-2016,0.92,68,206
207,3-14-2016,0.94,58,207
208,7-27-2000,0.91,55,208
209,5-15-2021,0.92,18,209
210,11-29-2012,0.72,63,210
211,7-19-2000,0.5,43,211
212,10-23-2003,0.76,75,212
213,5-29-2013,0.96,62,213
214,7-7-2002,0.81,10,214
215,9-18-2003,0.51,97,215
216,12-8-2013,0.96,92,216
217,1-13-2009,0.8,26,217
218,2-12-2004,0.83,72,218
219,8-16-2001,0.91,51,219
220,10-11-2023,0.67,54,220
221,5-21-2006,0.96,78,221
222,10-4-2017,0.74,61,222
223,11-2-2000,0.51,27,223
224,5-2-2003,0.68,66,224
225,4-5-2001,0.8,79,225
226,6-6-2003,0.51,96,226
227,7-26-2015,0.91,62,227
228,5-2-2002,0.91,38,228
229,10-27-2018,0.68,64,229
230,10-26-2020,0.63,17,230
231,3-11-2009,0.7,51,231
