transaction_id,sale_price,sale_date,payment_type,property_id
0,39.07,7-24-2002,Loan,0
1,120.0,4-3-2002,Loan,1
2,62.0,9-25-2008,Cash,2
3,95.0,3-30-2008,Cash,3
4,51.0,7-26-2018,Loan,4
5,38.0,7-22-2022,Cash,5
6,204.0,6-29-2025,Cash,6
7,600.0,9-2-2005,Cash,7
8,63.25,10-1-2012,Cash,8
9,370.0,11-25-2014,Cash,9
10,70.0,11-8-2017,Cash,10
11,295.0,8-19-2015,Loan,11
12,38.0,9-21-2004,Loan,12
13,40.0,7-11-2003,Cash,13
14,148.0,3-26-2014,Loan,14
15,73.5,3-17-2019,Loan,15
16,48.0,8-4-2006,Loan,16
17,60.0,6-21-2018,Loan,17
18,290.0,9-2-2019,Loan,18
19,48.0,10-26-2018,Cash,19
20,15.0,8-6-2017,Loan,20
21,122.0,9-9-2010,Loan,21
22,380.0,10-17-2024,Cash,22
23,103.0,3-28-2018,Loan,23
24,25.25,6-16-2000,Cash,24
25,56.0,7-15-2007,Loan,25
26,23.1,4-23-2014,Cash,26
27,81.0,8-22-2004,Loan,27
28,48.77,7-8-2023,Cash,28
29,47.0,9-7-2023,Cash,29
30,186.0,1-3-2020,Cash,30
31,35.0,6-25-2000,Loan,31
32,123.0,8-19-2019,Cash,32
33,57.39,4-25-2000,Cash,33
34,125.0,12-5-2013,Cash,34
35,36.0,5-30-2005,Loan,35
36,45.5,11-17-2006,Loan,36
37,125.0,11-16-2020,Cash,37
38,56.12,2-16-2000,Loan,38
39,45.0,11-15-2022,Loan,39
40,81.0,2-4-2010,Loan,40
41,38.0,7-14-2002,Loan,41
42,38.0,7-4-2015,Loan,42
43,48.0,3-12-2016,Loan,43
44,91.79,1-11-2017,Loan,44
45,200.0,1-28-2010,Cash,45
46,33.0,9-20-2020,Cash,46
47,94.82,1-13-2001,Cash,47
48,130.0,10-3-2022,Loan,48
49,36.0,8-6-2022,Loan,49
50,50.0,11-1-2017,Loan,50
51,99.0,12-13-2007,Loan,51
52,91.0,11-9-2005,Loan,52
53,75.0,3-23-2011,Cash,53
54,75.0,3-11-2021,Loan,54
55,44.0,4-13-2017,Cash,55
56,192.0,6-11-2007,Cash,56
57,185.0,10-5-2009,Loan,57
58,150.0,8-21-2008,Cash,58
59,45.0,12-5-2007,Cash,59
60,240.0,8-7-2022,Cash,60
61,55.0,2-5-2013,Loan,61
62,650.0,4-28-2005,Cash,62
63,44.0,4-21-2015,Loan,63
64,140.0,5-14-2016,Cash,64
65,62.0,6-13-2011,Cash,65
66,43.0,1-19-2000,Cash,66
67,57.0,10-20-2009,Loan,67
68,85.0,9-14-2015,Loan,68
69,36.68,5-26-2006,Cash,69
70,100.0,4-29-2023,Cash,70
71,80.58,7-20-2019,Loan,71
72,101.0,10-29-2005,Loan,72
73,70.0,6-13-2017,Loan,73
74,140.0,11-28-2016,Cash,74
75,48.23,2-11-2009,Loan,75
76,40.0,3-18-2011,Cash,76
77,205.0,7-6-2004,Loan,77
78,22.0,5-13-2008,Loan,78
79,250.0,3-26-2013,Loan,79
80,105.0,9-17-2010,Cash,80
81,224.5,12-30-2007,Loan,81
82,78.0,6-3-2021,Loan,82
83,60.8,11-21-2007,Cash,83
84,102.0,8-12-2004,Loan,84
85,210.0,9-26-2012,Loan,85
86,88.0,7-1-2011,Cash,86
87,37.0,5-1-2005,Loan,87
88,58.06,1-11-2002,Loan,88
89,160.0,5-4-2012,Cash,89
90,70.0,2-15-2001,Loan,90
91,28.88,9-17-2015,Loan,91
92,70.0,11-30-2018,Loan,92
93,155.0,12-7-2013,Cash,93
94,80.0,2-26-2023,Cash,94
95,90.0,7-20-2021,Loan,95
96,245.0,8-23-2008,Loan,96
97,48.0,7-12-2025,Loan,97
98,65.0,1-14-2011,Loan,98
99,90.0,6-15-2001,Cash,99
100,138.0,8-8-2002,Cash,100
101,17.0,8-11-2011,Loan,101
102,150.0,4-14-2014,Loan,102
103,43.0,8-30-2007,Cash,103
104,50.0,6-27-2012,Cash,104
105,49.9,2-25-2006,Cash,105
106,98.0,2-19-2007,Loan,106
107,229.0,6-25-2017,Cash,107
108,55.68,2-19-2024,Cash,108
109,66.78,9-24-2013,Loan,109
110,120.0,5-16-2001,Loan,110
111,75.0,4-10-2008,Cash,111
112,51.91,9-20-2024,Loan,112
113,45.9,10-16-2014,Loan,113
114,225.0,12-29-2018,Loan,114
115,140.0,2-16-2020,Cash,115
116,64.0,3-11-2024,Cash,116
117,74.75,1-3-2015,Loan,117
118,75.0,10-18-2011,Loan,118
119,23.0,11-9-2017,Cash,119
120,120.0,2-20-2016,Loan,120
121,200.0,1-8-2002,Cash,121
122,477.0,3-17-2024,Loan,122
123,150.0,2-17-2002,Loan,123
124,68.52,7-20-2007,Loan,124
125,34.0,11-14-2004,Loan,125
126,65.0,1-26-2002,Loan,126
127,54.0,3-17-2002,Loan,127
128,78.0,5-15-2011,Loan,128
129,115.0,1-8-2014,Cash,129
130,110.0,4-24-2015,Cash,130
131,75.0,12-4-2005,Loan,131
132,16.5,8-20-2023,Loan,132
133,210.0,3-29-2009,Loan,133
134,83.0,6-15-2013,Loan,134
135,57.0,6-17-2001,Cash,135
136,65.0,3-17-2001,Cash,136
137,54.005,1-7-2003,Cash,137
138,50.4,7-20-2015,Cash,138
139,85.05,1-6-2018,Cash,139
140,250.0,5-23-2011,Cash,140
141,213.0,1-14-2004,Cash,141
142,105.0,2-2-2013,Loan,142
143,60.0,6-6-2006,Loan,143
144,43.76,3-3-2024,Loan,144
145,225.0,8-18-2002,Cash,145
146,110.0,7-23-2011,Loan,146
147,35.0,6-9-2025,Cash,147
148,46.74,12-17-2018,Cash,148
149,185.0,5-24-2016,Loan,149
150,91.31,9-24-2003,Loan,150
151,58.0,7-1-2008,Loan,151
152,44.0,4-2-2016,Cash,152
153,235.0,9-15-2015,Cash,153
154,50.0,8-27-2014,Loan,154
155,30.6,12-14-2010,Cash,155
156,50.0,11-6-2017,Cash,156
157,135.0,5-25-2011,Loan,157
158,145.0,11-13-2000,Loan,158
159,760.0,3-23-2015,Cash,159
160,48.0,6-13-2001,Loan,160
161,32.0,8-3-2001,Loan,161
162,150.0,4-17-2012,Loan,162
163,420.0,2-9-2005,Cash,163
164,175.0,5-30-2014,Loan,164
165,43.49,12-10-2008,Loan,165
166,75.0,10-24-2024,Loan,166
167,64.5,6-19-2002,Cash,167
168,60.0,11-2-2014,Cash,168
169,70.0,6-24-2004,Cash,169
170,99.0,10-26-2017,Cash,170
171,11.0,4-19-2017,Loan,171
172,64.5,1-6-2025,Cash,172
173,56.0,3-29-2012,Loan,173
174,65.0,6-25-2010,Loan,174
175,100.0,11-22-2003,Loan,175
176,85.0,8-18-2016,Loan,176
177,14.0,5-24-2011,Loan,177
178,67.0,7-12-2022,Loan,178
179,36.0,7-9-2014,Loan,179
180,51.0,11-29-2003,Cash,180
181,155.0,7-8-2023,Cash,181
182,145.0,2-22-2018,Loan,182
183,110.0,5-26-2002,Cash,183
184,52.0,9-17-2016,Loan,184
185,300.0,11-8-2005,Loan,185
186,55.7,12-15-2018,Loan,186
187,46.0,11-9-2019,Cash,187
188,56.8,11-24-2009,Cash,188
189,52.0,6-13-2011,Cash,189
190,110.0,10-10-2021,Loan,190
191,80.0,8-12-2005,Loan,191
192,325.0,5-11-2009,Loan,192
193,250.0,12-28-2015,Loan,193
194,60.0,5-4-2010,Cash,194
195,98.0,9-1-2010,Loan,195
196,58.0,1-7-2020,Cash,196
197,115.0,12-18-2019,Loan,197
198,56.0,6-11-2019,Cash,198
199,48.0,1-3-2023,Loan,199
200,82.0,2-13-2000,Cash,200
201,70.0,10-30-2002,Loan,201
202,47.6,11-5-2001,Cash,202
203,53.0,1-24-2001,Loan,203
204,54.0,1-11-2007,Loan,204
205,48.7,11-10-2008,Loan,205
206,88.0,2-12-2025,Cash,206
207,87.0,8-19-2001,Loan,207
208,43.5,3-25-2008,Cash,208
209,190.0,2-17-2006,Loan,209
210,428.0,7-23-2019,Cash,210
211,65.0,6-6-2006,Cash,211
212,89.0,2-30-2004,Loan,212
213,78.29,11-24-2019,Cash,213
214,100.0,2-2-2007,Loan,214
215,65.0,7-7-2010,Cash,215
216,141.0,4-21-2020,Loan,216
217,27.0,6-28-2013,Loan,217
218,78.0,11-26-2013,Loan,218
219,98.29,9-12-2003,Loan,219
220,125.0,7-21-2009,Loan,220
221,90.0,6-12-2021,Cash,221
222,75.5,1-14-2012,Loan,222
223,44.28,2-30-2007,Cash,223
224,74.82,1-3-2006,Loan,224
225,260.0,8-4-2014,Loan,225
226,72.0,3-10-2006,Loan,226
227,115.0,12-11-2022,Loan,227
228,119.0,6-25-2015,Loan,228
229,22.14,1-28-2011,Cash,229
230,56.4,4-1-2001,Loan,230
231,60.0,6-20-2011,Loan,231
232,55.0,10-26-2005,Loan,232
233,42.0,6-8-2005,Cash,233
234,110.0,4-13-2013,Cash,234
235,65.0,8-3-2004,Loan,235
236,39.0,6-10-2023,Loan,236
237,129.0,1-23-2005,Loan,237
238,150.0,1-25-2011,Loan,238
239,60.0,4-24-2024,Cash,239
240,16.45,6-5-2022,Cash,240
241,180.0,10-7-2007,Cash,241
242,16.45,11-16-2020,Loan,242
243,84.0,5-12-2006,Loan,243
244,72.5,12-22-2003,Loan,244
245,90.0,10-1-2017,Cash,245
246,40.0,10-4-2016,Loan,246
247,70.0,6-19-2018,Loan,247
