valuation_id,valuation_amount,valuation_date,property_id
0,1054.89,5-7-2018,0
1,3240.0,3-3-2024,1
2,1674.0,1-29-2015,2
3,2565.0,12-23-2014,3
4,1377.0,12-18-2016,4
5,1026.0,10-14-2003,5
6,5508.0,10-14-2010,6
7,16200.0,8-8-2015,7
8,1707.75,10-7-2000,8
9,9990.0,3-15-2008,9
10,1890.0,7-1-2016,10
11,7965.0,7-20-2006,11
12,1026.0,12-9-2007,12
13,1080.0,4-25-2019,13
14,3996.0,12-7-2003,14
15,1984.5,9-1-2009,15
16,1296.0,6-25-2004,16
17,1620.0,6-6-2018,17
18,7830.0,3-24-2005,18
19,1296.0,12-2-2014,19
20,405.0,3-16-2017,20
21,3294.0,10-18-2020,21
22,10260.0,7-23-2009,22
23,2781.0,8-18-2004,23
24,681.75,10-17-2021,24
25,1512.0,12-26-2011,25
26,623.7,4-15-2003,26
27,2187.0,9-27-2015,27
28,1316.7900000000002,7-10-2008,28
29,1269.0,8-8-2011,29
30,5022.0,6-15-2010,30
31,945.0,8-7-2024,31
32,3321.0,3-26-2025,32
33,1549.53,12-18-2024,33
34,3375.0,12-3-2006,34
35,972.0,10-26-2006,35
36,1228.5,11-26-2023,36
37,3375.0,3-11-2004,37
38,1515.24,7-5-2018,38
39,1215.0,5-12-2014,39
40,2187.0,3-3-2018,40
41,1026.0,10-21-2022,41
42,1026.0,9-27-2010,42
43,1296.0,8-29-2000,43
44,2478.3300000000004,11-11-2000,44
45,5400.0,10-13-2008,45
46,891.0,12-8-2016,46
47,2560.14,2-20-2012,47
48,3510.0,10-5-2006,48
49,972.0,7-10-2011,49
50,1350.0,1-7-2024,50
51,2673.0,4-12-2011,51
52,2457.0,5-8-2001,52
53,2025.0,2-3-2015,53
54,2025.0,6-5-2007,54
55,1188.0,4-14-2008,55
56,5184.0,5-12-2008,56
57,4995.0,4-16-2001,57
58,4050.0,1-10-2018,58
59,1215.0,11-26-2013,59
60,6480.0,5-18-2006,60
61,1485.0,6-21-2012,61
62,17550.0,7-23-2009,62
63,1188.0,6-19-2025,63
64,3780.0,3-14-2015,64
65,1674.0,2-23-2023,65
66,1161.0,3-2-2008,66
67,1539.0,2-26-2016,67
68,2295.0,10-20-2006,68
69,990.36,2-28-2006,69
70,2700.0,5-11-2005,70
71,2175.66,11-15-2006,71
72,2727.0,2-7-2024,72
73,1890.0,6-18-2023,73
74,3780.0,5-15-2025,74
75,1302.2099999999998,11-10-2015,75
76,1080.0,11-29-2022,76
77,5535.0,8-13-2001,77
78,594.0,2-25-2016,78
79,6750.0,12-12-2003,79
80,2835.0,8-14-2005,80
81,6061.5,2-15-2020,81
82,2106.0,1-29-2010,82
83,1641.6,5-19-2006,83
84,2754.0,1-14-2001,84
85,5670.0,3-16-2021,85
86,2376.0,8-12-2007,86
87,999.0,2-28-2020,87
88,1567.6200000000001,9-11-2017,88
89,4320.0,6-21-2017,89
90,1890.0,9-11-2002,90
91,779.76,2-2-2014,91
92,1890.0,5-13-2000,92
93,4185.0,5-14-2010,93
94,2160.0,3-9-2009,94
95,2430.0,12-26-2016,95
96,6615.0,1-20-2007,96
97,1296.0,3-5-2006,97
98,1755.0,12-27-2006,98
99,2430.0,4-19-2010,99
100,3726.0,8-8-2001,100
101,459.0,4-1-2022,101
102,4050.0,5-25-2025,102
103,1161.0,2-30-2019,103
104,1350.0,3-11-2018,104
105,1347.3,3-2-2019,105
106,2646.0,4-27-2016,106
107,6183.0,5-26-2013,107
108,1503.36,2-26-2015,108
109,1803.06,9-5-2017,109
110,3240.0,6-22-2007,110
111,2025.0,3-12-2012,111
112,1401.57,1-15-2017,112
113,1239.3,3-11-2011,113
114,6075.0,9-21-2013,114
115,3780.0,9-30-2005,115
116,1728.0,1-10-2021,116
117,2018.25,8-26-2017,117
118,2025.0,6-8-2005,118
119,621.0,4-4-2025,119
120,3240.0,1-2-2004,120
121,5400.0,9-18-2002,121
122,12879.0,9-20-2018,122
123,4050.0,8-18-2012,123
124,1850.04,8-14-2002,124
125,918.0,11-18-2021,125
126,1755.0,6-12-2008,126
127,1458.0,6-28-2019,127
128,2106.0,5-1-2017,128
129,3105.0,5-5-2013,129
130,2970.0,6-14-2009,130
131,2025.0,4-18-2010,131
132,445.5,7-8-2025,132
133,5670.0,8-22-2011,133
134,2241.0,1-23-2013,134
135,1539.0,3-11-2012,135
136,1755.0,11-19-2000,136
137,1458.135,8-18-2023,137
138,1360.8,12-25-2006,138
139,2296.35,5-21-2008,139
140,6750.0,9-8-2006,140
141,5751.0,5-25-2022,141
142,2835.0,7-13-2015,142
143,1620.0,4-6-2008,143
144,1181.52,1-12-2013,144
145,6075.0,12-1-2020,145
146,2970.0,3-30-2016,146
